Date,Open,High,Low,Close,Adj Close,Volume
2024-02-20,790.000000,802.000000,692.500000,787.570007,787.570007,25412600
2024-02-21,749.750000,772.500000,708.080017,734.169983,734.169983,14962900
2024-02-22,864.989990,1003.539978,834.000000,975.520020,975.520020,25372700
2024-02-23,938.159973,995.000000,824.020020,860.010010,860.010010,19384400
2024-02-26,884.469971,895.960022,830.020020,876.340027,876.340027,9607800
2024-02-27,862.940002,869.000000,814.000000,851.109985,851.109985,6910400
2024-02-28,820.000000,846.500000,812.000000,816.539978,816.539978,6032500
2024-02-29,839.000000,890.520020,839.000000,866.119995,866.119995,8842900
2024-03-01,881.880005,927.000000,881.000000,905.479980,905.479980,9887600
2024-03-04,1039.000000,1155.000000,1020.340027,1074.339966,1074.339966,20162100
2024-03-05,1035.000000,1097.500000,976.099976,1090.829956,1090.829956,13304400
2024-03-06,1158.000000,1169.500000,1092.000000,1124.699951,1124.699951,11893300
2024-03-07,1133.000000,1162.050049,1090.300049,1159.760010,1159.760010,8824300
2024-03-08,1212.000000,1229.000000,1092.000000,1140.010010,1140.010010,11672100
2024-03-11,1100.250000,1111.000000,1025.000000,1080.219971,1080.219971,7115500
2024-03-12,1124.290039,1166.319946,1094.000000,1163.000000,1163.000000,6747300
2024-03-13,1148.729980,1198.000000,1122.339966,1188.069946,1188.069946,5876000
2024-03-14,1175.000000,1195.630005,1110.550049,1130.109985,1130.109985,6244500
2024-03-15,1123.449951,1135.599976,1066.260010,1068.829956,1068.829956,16927600
2024-03-18,1107.000000,1147.790039,952.059998,1000.679993,1000.679993,11530700
2024-03-19,888.609985,925.000000,863.000000,910.969971,910.969971,10484400
2024-03-20,900.000000,905.500000,855.000000,896.469971,896.469971,7645700
2024-03-21,938.000000,994.440002,906.159973,971.609985,971.609985,8563000
2024-03-22,954.539978,985.469971,947.200012,972.739990,972.739990,5055200
2024-03-25,972.750000,1072.739990,967.000000,1042.790039,1042.790039,7017200
2024-03-26,1087.000000,1106.109985,1022.109985,1025.060059,1025.060059,6356300
2024-03-27,1042.119995,1047.810059,986.340027,1023.289978,1023.289978,5257800
2024-03-28,1008.619995,1033.000000,997.020020,1010.030029,1010.030029,3463100
2024-04-01,1010.000000,1069.000000,1005.000000,1037.150024,1037.150024,5185200
2024-04-02,1000.000000,1012.599976,975.090027,1009.909973,1009.909973,4230100
2024-04-03,975.000000,1042.449951,965.830017,1015.570007,1015.570007,6182400
2024-04-04,1030.699951,1057.180054,956.159973,957.989990,957.989990,5816600
2024-04-05,968.000000,981.989990,932.020020,948.020020,948.020020,5336200
2024-04-08,962.500000,964.000000,902.000000,928.500000,928.500000,4316700
2024-04-09,925.000000,937.239990,881.000000,904.200012,904.200012,4032200
2024-04-10,876.150024,924.000000,871.099976,908.539978,908.539978,4137300
2024-04-11,912.000000,945.359985,907.190002,937.280029,937.280029,3677000
2024-04-12,920.299988,924.989990,894.000000,898.489990,898.489990,3301400
2024-04-15,912.000000,936.359985,881.080017,882.750000,882.750000,4201100
2024-04-16,901.320007,981.460022,893.000000,976.299988,976.299988,7121400
2024-04-17,992.010010,1020.330017,949.409973,960.080017,960.080017,7167500
2024-04-18,961.880005,972.989990,917.460022,928.479980,928.479980,4300700
2024-04-19,871.000000,890.830017,710.950012,713.650024,713.650024,17107500
